Ligand,Receptor,Annotation,Reference
TGFB1,TGFBR1,Secreted Signaling,KEGG: hsa04350
TGFB1,TGFBR2,Secreted Signaling,KEGG: hsa04350
TGFB2,TGFBR1,Secreted Signaling,KEGG: hsa04350
TGFB2,TGFBR2,Secreted Signaling,KEGG: hsa04350
TGFB3,TGFBR1,Secreted Signaling,KEGG: hsa04350
TGFB3,TGFBR2,Secreted Signaling,KEGG: hsa04350
TGFB1,ACVR1B,Secreted Signaling,PMID: 27449815
TGFB1,TGFBR2,Secreted Signaling,PMID: 27449815
TGFB1,ACVR1C,Secreted Signaling,PMID: 27449815
TGFB2,ACVR1B,Secreted Signaling,PMID: 27449815
TGFB2,TGFBR2,Secreted Signaling,PMID: 27449815
TGFB2,ACVR1C,Secreted Signaling,PMID: 27449815
TGFB3,ACVR1B,Secreted Signaling,PMID: 27449815
TGFB3,TGFBR2,Secreted Signaling,PMID: 27449815
TGFB3,ACVR1C,Secreted Signaling,PMID: 27449815
TGFB1,ACVR1,Secreted Signaling,PMID: 29376829
TGFB1,TGFBR1,Secreted Signaling,PMID: 29376829
TGFB1,TGFBR2,Secreted Signaling,PMID: 29376829
TGFB2,ACVR1,Secreted Signaling,PMID: 29376829
TGFB2,TGFBR1,Secreted Signaling,PMID: 29376829
TGFB2,TGFBR2,Secreted Signaling,PMID: 29376829
TGFB3,ACVR1,Secreted Signaling,PMID: 29376829
TGFB3,TGFBR1,Secreted Signaling,PMID: 29376829
TGFB3,TGFBR2,Secreted Signaling,PMID: 29376829
BMP2,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893264
BMP2,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893264
BMP2,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893265
BMP2,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893265
BMP2,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893266
BMP2,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893266
BMP2,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893267
BMP2,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893267
BMP2,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893268
BMP2,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893268
BMP2,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893269
BMP2,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893269
BMP4,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893270
BMP4,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893270
BMP4,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893271
BMP4,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893271
BMP4,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893272
